date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:48:56	2362/2362	---M-Z	200	added ('OK')	text/html	etag:%2293a-58bf96f43de9c-gzip%22	https://dsa.cs.tsinghua.edu.cn/~deng/ds/src_link/bintree/binnode_macro_redblack.h.htm	/Users/apple/Desktop/Data_Struct/dsa.cs.tsinghua.edu.cn/_deng/ds/src_link/bintree/binnode_macro_redblack.h.html	(from https://dsa.cs.tsinghua.edu.cn/~deng/ds/src_link/index.htm)
08:48:57	2550/2550	---M-Z	200	added ('OK')	text/html	etag:%229f6-58bf96f477885-gzip%22	https://dsa.cs.tsinghua.edu.cn/~deng/ds/src_link/bintree/binnode_size.h.htm	/Users/apple/Desktop/Data_Struct/dsa.cs.tsinghua.edu.cn/_deng/ds/src_link/bintree/binnode_size.h.html	(from https://dsa.cs.tsinghua.edu.cn/~deng/ds/src_link/index.htm)
08:48:58	3204/3204	---M-Z	200	added ('OK')	text/html	etag:%22c84-58bf96f4c0c71-gzip%22	https://dsa.cs.tsinghua.edu.cn/~deng/ds/src_link/bintree/binnode_stretchbyzag.h.htm	/Users/apple/Desktop/Data_Struct/dsa.cs.tsinghua.edu.cn/_deng/ds/src_link/bintree/binnode_stretchbyzag.h.html	(from https://dsa.cs.tsinghua.edu.cn/~deng/ds/src_link/index.htm)
08:48:59	2786/2786	---M-Z	200	added ('OK')	text/html	etag:%22ae2-58bf96f4f871a-gzip%22	https://dsa.cs.tsinghua.edu.cn/~deng/ds/src_link/bintree/binnode_stretchbyzig.h.htm	/Users/apple/Desktop/Data_Struct/dsa.cs.tsinghua.edu.cn/_deng/ds/src_link/bintree/binnode_stretchbyzig.h.html	(from https://dsa.cs.tsinghua.edu.cn/~deng/ds/src_link/index.htm)
08:49:00	3501/3501	---M-Z	200	added ('OK')	text/html	etag:%22dad-58bf96f53bd45-gzip%22	https://dsa.cs.tsinghua.edu.cn/~deng/ds/src_link/bintree/binnode_succ.h.htm	/Users/apple/Desktop/Data_Struct/dsa.cs.tsinghua.edu.cn/_deng/ds/src_link/bintree/binnode_succ.h.html	(from https://dsa.cs.tsinghua.edu.cn/~deng/ds/src_link/index.htm)
08:49:01	3529/3529	---M-Z	200	added ('OK')	text/html	etag:%22dc9-58bf96f57e3d0-gzip%22	https://dsa.cs.tsinghua.edu.cn/~deng/ds/src_link/bintree/binnode_travinorder.h.htm	/Users/apple/Desktop/Data_Struct/dsa.cs.tsinghua.edu.cn/_deng/ds/src_link/bintree/binnode_travinorder.h.html	(from https://dsa.cs.tsinghua.edu.cn/~deng/ds/src_link/index.htm)
08:49:02	4011/4011	---M-Z	200	added ('OK')	text/html	etag:%22fab-58bf96f5c393c-gzip%22	https://dsa.cs.tsinghua.edu.cn/~deng/ds/src_link/bintree/binnode_travinorder_i1.h.htm	/Users/apple/Desktop/Data_Struct/dsa.cs.tsinghua.edu.cn/_deng/ds/src_link/bintree/binnode_travinorder_i1.h.html	(from https://dsa.cs.tsinghua.edu.cn/~deng/ds/src_link/index.htm)
08:49:03	3642/3642	---M-Z	200	added ('OK')	text/html	etag:%22e3a-58bf96f5fa445-gzip%22	https://dsa.cs.tsinghua.edu.cn/~deng/ds/src_link/bintree/binnode_travinorder_i2.h.htm	/Users/apple/Desktop/Data_Struct/dsa.cs.tsinghua.edu.cn/_deng/ds/src_link/bintree/binnode_travinorder_i2.h.html	(from https://dsa.cs.tsinghua.edu.cn/~deng/ds/src_link/index.htm)
08:49:04	4503/4503	---M-Z	200	added ('OK')	text/html	etag:%221197-58bf96f634dcf-gzip%22	https://dsa.cs.tsinghua.edu.cn/~deng/ds/src_link/bintree/binnode_travinorder_i3.h.htm	/Users/apple/Desktop/Data_Struct/dsa.cs.tsinghua.edu.cn/_deng/ds/src_link/bintree/binnode_travinorder_i3.h.html	(from https://dsa.cs.tsinghua.edu.cn/~deng/ds/src_link/index.htm)
08:49:05	3819/3819	---M-Z	200	added ('OK')	text/html	etag:%22eeb-58bf96f66f758-gzip%22	https://dsa.cs.tsinghua.edu.cn/~deng/ds/src_link/bintree/binnode_travinorder_i4.h.htm	/Users/apple/Desktop/Data_Struct/dsa.cs.tsinghua.edu.cn/_deng/ds/src_link/bintree/binnode_travinorder_i4.h.html	(from https://dsa.cs.tsinghua.edu.cn/~deng/ds/src_link/index.htm)
08:49:06	2516/2516	---M-Z	200	added ('OK')	text/html	etag:%229d4-58bf96f6ab082-gzip%22	https://dsa.cs.tsinghua.edu.cn/~deng/ds/src_link/bintree/binnode_travinorder_r.h.htm	/Users/apple/Desktop/Data_Struct/dsa.cs.tsinghua.edu.cn/_deng/ds/src_link/bintree/binnode_travinorder_r.h.html	(from https://dsa.cs.tsinghua.edu.cn/~deng/ds/src_link/index.htm)
08:49:07	3385/3385	---M-Z	200	added ('OK')	text/html	etag:%22d39-58bf96f6eb7cd-gzip%22	https://dsa.cs.tsinghua.edu.cn/~deng/ds/src_link/bintree/binnode_travlevel.h.htm	/Users/apple/Desktop/Data_Struct/dsa.cs.tsinghua.edu.cn/_deng/ds/src_link/bintree/binnode_travlevel.h.html	(from https://dsa.cs.tsinghua.edu.cn/~deng/ds/src_link/index.htm)
08:49:08	2847/2847	---M-Z	200	added ('OK')	text/html	etag:%22b1f-58bf96f733c18-gzip%22	https://dsa.cs.tsinghua.edu.cn/~deng/ds/src_link/bintree/binnode_travpostorder.h.htm	/Users/apple/Desktop/Data_Struct/dsa.cs.tsinghua.edu.cn/_deng/ds/src_link/bintree/binnode_travpostorder.h.html	(from https://dsa.cs.tsinghua.edu.cn/~deng/ds/src_link/index.htm)
08:49:09	5001/5001	---M-Z	200	added ('OK')	text/html	etag:%221389-58bf96f76c662-gzip%22	https://dsa.cs.tsinghua.edu.cn/~deng/ds/src_link/bintree/binnode_travpostorder_i.h.htm	/Users/apple/Desktop/Data_Struct/dsa.cs.tsinghua.edu.cn/_deng/ds/src_link/bintree/binnode_travpostorder_i.h.html	(from https://dsa.cs.tsinghua.edu.cn/~deng/ds/src_link/index.htm)
08:49:10	2524/2524	---M-Z	200	added ('OK')	text/html	etag:%229dc-58bf96f7a50ab-gzip%22	https://dsa.cs.tsinghua.edu.cn/~deng/ds/src_link/bintree/binnode_travpostorder_r.h.htm	/Users/apple/Desktop/Data_Struct/dsa.cs.tsinghua.edu.cn/_deng/ds/src_link/bintree/binnode_travpostorder_r.h.html	(from https://dsa.cs.tsinghua.edu.cn/~deng/ds/src_link/index.htm)
